time,GSR,,,,,,,,,,
-122.05,37.37,,,,,,,,,,
-118.3,34.26,,,,,,,,,,
-117.81,33.78,,,,,,,,,,
-118.36,33.82,,,,,,,,,,
-119.67,36.33,,,,,,,,,, 
-119.56,36.51,,,,,,,,,,
-121.43,38.63,,,,,,,,,,
-120.65,35.48,,,,,,,,,,
-122.84,38.4,,,,,,,,,,
-118.02,34.08,,,,,,,,,,
-118.24,33.98,,,,,,,,,,
-119.12,35.85,,,,,,,,,,
-121.93,37.25,,,,,,,,,,
-117.03,32.97,,,,,,,,,,
-117.97,33.73,,,,,,,,,,
-117.99,33.81,,,,,,,,,,
-120.81,37.53,,,,,,,,,,
-121.2,38.69,,,,,,,,,,
-118.88,34.21,,,,,,,,,,
-122.59,38.01,,,,,,,,,,
-122.15,37.75,,,,,,,,,,
-121.37,38.68,,,,,,,,,,
-118.16,34.07,,,,,,,,,,
-122.2,37.79,,,,,,,,,,
-117.28,33.28,,,,,,,,,,
-118.03,34.16,,,,,,,,,,
-122.42,37.76,,,,,,,,,,
-118.39,33.99,,,,,,,,,,
-118.45,34.07,,,,,,,,,,
-118.48,34.01,,,,,,,,,,
-119.35,36.33,,,,,,,,,,
-118.3,33.91,,,,,,,,,,
-121.13,39.31,,,,,,,,,,
-118.08,34.55,,,,,,,,,,
-118.32,33.94,,,,,,,,,,
-118.11,34,,,,,,,,,,
-122.53,37.97,,,,,,,,,,
-118.02,33.92,,,,,,,,,,
-118.05,33.93,,,,,,,,,,
-119.01,34.23,,,,,,,,,,
-119.32,36.2,,,,,,,,,,
-116.92,32.77,,,,,,,,,,
-118.06,34.15,,,,,,,,,,
-117.27,34.09,,,,,,,,,,
-118.23,34.13,,,,,,,,,,
-117.24,33.17,,,,,,,,,,
-121.91,37.44,,,,,,,,,,
-118.29,33.94,,,,,,,,,,
-121.35,38,,,,,,,,,,
-117.99,33.78,,,,,,,,,,
-120.99,37.7,,,,,,,,,,
-119.42,35.97,,,,,,,,,,
-122.21,37.8,,,,,,,,,,
-118.17,33.8,,,,,,,,,,
-117.9,34.09,,,,,,,,,,
-117.99,33.93,,,,,,,,,,
-121.42,38.72,,,,,,,,,,
-118.77,34.26,,,,,,,,,,
-121.93,37.33,,,,,,,,,,
-121.82,37.25,,,,,,,,,,
-122.29,37.56,,,,,,,,,,
-121.78,37.23,,,,,,,,,,
-118.41,34,,,,,,,,,,
-121.67,40.87,,,,,,,,,,
-118,33.92,,,,,,,,,,
-117.22,32.73,,,,,,,,,,
-121.08,37.69,,,,,,,,,,
-117.53,33.92,,,,,,,,,,
-117.46,34.08,,,,,,,,,,
-117.97,33.86,,,,,,,,,,
-121.92,37.33,,,,,,,,,,
-118.2,34.04,,,,,,,,,,
-118.06,33.8,,,,,,,,,,
-122.05,37.36,,,,,,,,,,
-123.79,39.5,,,,,,,,,,
-120.79,37.49,,,,,,,,,,
-121.89,37.35,,,,,,,,,,
-118.43,34.2,,,,,,,,,,
-118.75,34.17,,,,,,,,,,
-122.47,37.99,,,,,,,,,,
-120.69,37.4,,,,,,,,,,
-118.28,34.05,,,,,,,,,,
-118.44,34.25,,,,,,,,,,
-122.05,38.26,,,,,,,,,,
-121.99,37.35,,,,,,,,,,
-121.02,37.68,,,,,,,,,,
-119.85,36.74,,,,,,,,,,
-118.02,34.08,,,,,,,,,,
-123.52,41.01,,,,,,,,,,
-122.4,37.62,,,,,,,,,,
-118.13,34.15,,,,,,,,,,
-122,37.98,,,,,,,,,,
-118.45,34.25,,,,,,,,,,
-117.5,33.87,,,,,,,,,,
-122.22,37.84,,,,,,,,,,
-119.82,36.64,,,,,,,,,,
-120.21,36.77,,,,,,,,,,
-120.97,38.42,,,,,,,,,,
-121.19,38.87,,,,,,,,,,
-118.2,33.77,,,,,,,,,,
-118.3,34.02,,,,,,,,,,
